Model,Train_Lang,Test_Lang,Target_Class,Precision,Recall,F1
XLM-R,all,ibo,VERB,0.8892323544564658,0.7647319450598139,0.8222963315864698
XLM-R,all,ibo,CCONJ,0.6537931034482759,0.8479427549194991,0.7383177570093458
XLM-R,all,ibo,NUM,0.7900677200902935,0.8177570093457944,0.8036739380022963
XLM-R,all,ibo,PUNCT,0.992399565689468,0.9978165938864628,0.995100707675558
XLM-R,all,ibo,PRON,0.5889714509190458,0.9453860640301318,0.7257831325301205
XLM-R,all,ibo,SCONJ,0.2222222222222222,0.0049566294919454,0.0096969696969696
XLM-R,all,ibo,AUX,0.3710788064269319,0.9738955823293172,0.5373961218836565
XLM-R,all,ibo,DET,0.5362953692115144,0.7337328767123288,0.6196673897324656
XLM-R,all,ibo,PART,0.0,0.0,0.0
XLM-R,all,ibo,ADV,0.0797101449275362,0.3384615384615385,0.1290322580645161
XLM-R,all,ibo,ADJ,0.8328690807799443,0.6281512605042017,0.7161676646706587
XLM-R,all,ibo,SYM,0.0,0.0,0.0
XLM-R,all,ibo,INTJ,0.0,0.0,0.0
XLM-R,sna,sna,NOUN,0.8100519112789052,0.9103686024927076,0.857285553752029
XLM-R,sna,sna,ADP,0.7779106858054227,0.9312649164677804,0.847708016510971
XLM-R,sna,sna,PROPN,0.9401759530791788,0.9207352096496266,0.930354033662217
XLM-R,sna,sna,ADJ,0.6666666666666666,0.0038610038610038,0.0076775431861804
XLM-R,sna,sna,VERB,0.7319385420071919,0.908316430020284,0.8106444605358436
XLM-R,sna,sna,CCONJ,0.7255520504731862,0.5974025974025974,0.6552706552706553
XLM-R,sna,sna,PUNCT,0.9575757575757576,0.996845425867508,0.9768160741885626
XLM-R,sna,sna,ADV,0.2846153846153846,0.0762886597938144,0.1203252032520325
XLM-R,sna,sna,DET,0.672962226640159,0.8206060606060606,0.7394866193336974
XLM-R,sna,sna,SYM,0.0,0.0,0.0
XLM-R,sna,sna,AUX,0.6662030598052852,0.5729665071770335,0.6160771704180065
XLM-R,sna,sna,SCONJ,0.9381443298969072,0.2935483870967741,0.4471744471744471
